caracteristicasPageRank;freqWordPageRank;caracteristicasTotalSet;freqWordTotalSet
real-valu=alto;4;alberta=alto;7.0
univers alberta=baixo;4;univers alberta=alto;5.0
learn=alto;3;nserc=alto;4.0
proof=alto;3;empir=alto;4.0
nserc=alto;3;approxim=alto;3.0
stochast=alto;3;fix=alto;3.0
advanc neural inform=alto;2;reinforc learn=alto;2.0
loss=alto;2;chang=alto;2.0
result section=alto;2;acknowledg=alto;2.0
british columbia=alto;1;alberta=medio;2.0
lang=alto;1;result section=alto;2.0
function=alto;1;elimin=baixo;1.0
assign=medio;1;given set=baixo;1.0
network=medio;1;univers british columbia=alto;1.0
certain=alto;1;pearl=medio;1.0
zhang=alto;1;fuzzi=alto;1.0
approxim=baixo;1;origin network=alto;1.0
structur=baixo;1;sequenc=baixo;1.0
random=baixo;1;institut technolog=baixo;1.0
element=baixo;1;set state=baixo;1.0
research=baixo;1;known=medio;1.0
use ani=baixo;1;growth=baixo;1.0
daphn=baixo;1;limit=alto;1.0
final=medio;1;intellig research=alto;1.0
allow=alto;1;perform better=baixo;1.0
size=medio;1;lead=medio;1.0
dean=baixo;1;figur depict=alto;1.0
toronto=alto;1;koller=alto;1.0
darpa=baixo;1;canada=alto;1.0
discuss abov=medio;1;univers british=alto;1.0
optim=alto;1;toronto=alto;1.0
similar=baixo;1;let=medio;1.0
order=medio;1;describ=alto;1.0
present=alto;1;random=baixo;1.0
techniqu=alto;1;modif=baixo;1.0
alberta=alto;1;drawback=baixo;1.0
acknowledg=baixo;1;variabl set=baixo;1.0
univers alberta=alto;1;individu=medio;1.0
element=medio;1;maxim=alto;1.0
averag=medio;1;univers pittsburgh=alto;1.0
proceed intern=alto;1;los=medio;1.0
background=medio;1;implement use=baixo;1.0
inf=alto;1;freita=alto;1.0
proceed intern=medio;1;confer=alto;1.0
confer machin learn=medio;1;algorithm develop=baixo;1.0
empir=alto;1;veri larg=baixo;1.0
let denot=alto;1;mechan=baixo;1.0
alberta=medio;1;real-valu=alto;1.0
limit=alto;1;quantiti=baixo;1.0
knowledg=baixo;1;stop=baixo;1.0
defin equat=baixo;1;follow section=alto;1.0
pearl=medio;1;obtain=alto;1.0
koller=alto;1;inc.=alto;1.0
depart comput=alto;1;mean=medio;1.0
craig=alto;1;british=alto;1.0
reduc=medio;1;belief=medio;1.0
daphn koller=alto;1;assum=alto;1.0
dynam=alto;1;given network=alto;1.0
prior=medio;1;method=alto;1.0
avail=baixo;1;druzdzel=alto;1.0
choos=alto;1;similar=alto;1.0
british=alto;1;depict=alto;1.0
vancouv canada=medio;1;start=alto;1.0
fuzzi=alto;1;moreov=alto;1.0
network=alto;1;return=medio;1.0
scienc depart univers=baixo;1;becaus=baixo;1.0
publish=alto;1;network figur=alto;1.0
bayesian=alto;1;san=alto;1.0
kaufmann publish=alto;1;conclus=medio;1.0
inc.=alto;1;uncertain=alto;1.0
pool=alto;1;daphn koller=alto;1.0
veri=alto;1;darwich=alto;1.0
moreov=alto;1;academ press=alto;1.0
state=alto;1;infer=baixo;1.0
pittsburgh=alto;1;academ=alto;1.0
ed=alto;1;user=alto;1.0
expect valu=baixo;1;match=alto;1.0
partial=alto;1;belong=alto;1.0
usa=baixo;1;confer artifici intellig=medio;1.0
optim solut=alto;1;approxim=medio;1.0
network node=medio;1;enabl=alto;1.0
morgan kaufmann publish=alto;1;prade=alto;1.0
chang=alto;1;framework=alto;1.0
laboratori=medio;1;data=medio;1.0
solv=alto;1;queri=alto;1.0
implement=alto;1;natur languag=alto;1.0
guid=baixo;1;signific=medio;1.0
studi=baixo;1;order=medio;1.0
develop=medio;1;duboi=alto;1.0
earli=baixo;1;critic=medio;1.0
artifici intellig=medio;1;columbia=alto;1.0
journal artifici=alto;1;earli=baixo;1.0
conclus=baixo;1;precis=baixo;1.0
bound=alto;1;instead=baixo;1.0
mechan=baixo;1;expect valu=baixo;1.0
morgan kaufmann=alto;1;state set=baixo;1.0
scienc=alto;1;instruct=baixo;1.0
studi=alto;1;valid=baixo;1.0
univers pittsburgh=alto;1;scienc depart univers=baixo;1.0
fewer=baixo;1;word=alto;1.0
elimin=baixo;1;indic=baixo;1.0
univers british=alto;1;respect=medio;1.0
univers british columbia=medio;1;cost=medio;1.0
languag=alto;1;allow=alto;1.0
daphn koller=baixo;1;stanford univers=medio;1.0
interpret=alto;1;affect=baixo;1.0
fuzzi set=alto;1;use learn=baixo;1.0
theori=alto;1;pittsburgh=alto;1.0
columbia=medio;1;daphn koller=baixo;1.0
upper bound=baixo;1;stanford=medio;1.0
let=medio;1;surpris=baixo;1.0
solut=alto;1;factor=alto;1.0
optim polici=medio;1;choos=alto;1.0
boutili=alto;1;kaufmann publish=alto;1.0
lead=medio;1;situat=alto;1.0
carri=alto;1;review=alto;1.0
columbia=alto;1;daphn=baixo;1.0
vancouv=medio;1;represent=alto;1.0
group=baixo;1;benefici=baixo;1.0
word=alto;1;fuzzi set=alto;1.0
uncertain=alto;1;publish=alto;1.0
data=medio;1;present=alto;1.0
inform=alto;1;vancouv canada=medio;1.0
local=alto;1;shown=alto;1.0
observ markov=medio;1;associ=baixo;1.0
darwich=alto;1;space=alto;1.0
druzdzel=alto;1;larg=alto;1.0
littman=alto;1;stanford=baixo;1.0
comput scienc univers=alto;1;use ani=baixo;1.0
user=alto;1;;
duboi=alto;1;;
approxim=medio;1;;
uncertainti=alto;1;;
studi=medio;1;;
natur languag=alto;1;;
like=baixo;1;;
represent=alto;1;;
match=alto;1;;
return=medio;1;;
