caracteristicasPageRank;freqWordPageRank;caracteristicasTotalSet;freqWordTotalSet
boutili=alto;7;koller=alto;8.0
daphn koller=baixo;5;daphn=baixo;6.0
daphn=baixo;2;factor=alto;2.0
optim=alto;2;surpris=baixo;2.0
final=medio;2;stanford=medio;2.0
allow=alto;2;daphn koller=baixo;2.0
size=medio;1;pittsburgh=alto;1.0
dean=baixo;1;use learn=baixo;1.0
toronto=alto;1;affect=baixo;1.0
discuss abov=medio;1;stanford univers=medio;1.0
random=baixo;1;allow=alto;1.0
element=baixo;1;signific=medio;1.0
certain=alto;1;situat=alto;1.0
pearl=medio;1;univers british=alto;1.0
techniqu=alto;1;daphn koller=alto;1.0
koller=alto;1;maxim=alto;1.0
depart comput=alto;1;individu=medio;1.0
craig=alto;1;variabl set=baixo;1.0
reduc=medio;1;drawback=baixo;1.0
daphn koller=alto;1;modif=baixo;1.0
prior=medio;1;random=baixo;1.0
network=medio;1;describ=alto;1.0
avail=baixo;1;let=medio;1.0
knowledg=baixo;1;toronto=alto;1.0
acknowledg=baixo;1;choos=alto;1.0
darpa=baixo;1;darwich=alto;1.0
function=alto;1;kaufmann publish=alto;1.0
dynam=alto;1;conclus=medio;1.0
assign=medio;1;origin network=alto;1.0
network node=medio;1;univers british columbia=alto;1.0
pittsburgh=alto;1;pearl=medio;1.0
state=alto;1;follow section=alto;1.0
veri=alto;1;inc.=alto;1.0
publish=alto;1;belief=medio;1.0
pool=alto;1;depict=alto;1.0
univers pittsburgh=alto;1;becaus=baixo;1.0
studi=alto;1;network figur=alto;1.0
scienc=alto;1;san=alto;1.0
laboratori=medio;1;los=medio;1.0
morgan kaufmann=alto;1;critic=medio;1.0
morgan kaufmann publish=alto;1;figur depict=alto;1.0
network=alto;1;univers pittsburgh=alto;1.0
zhang=alto;1;moreov=alto;1.0
scienc depart univers=baixo;1;druzdzel=alto;1.0
chang=alto;1;given network=alto;1.0
bayesian=alto;1;freita=alto;1.0
kaufmann publish=alto;1;british=alto;1.0
inc.=alto;1;obtain=alto;1.0
darwich=alto;1;columbia=alto;1.0
moreov=alto;1;instead=baixo;1.0
druzdzel=alto;1;review=alto;1.0
comput scienc univers=alto;1;canada=alto;1.0
structur=baixo;1;scienc depart univers=baixo;1.0
approxim=baixo;1;lead=medio;1.0
british columbia=alto;1;chang=alto;1.0
lang=alto;1;publish=alto;1.0
research=baixo;1;vancouv canada=medio;1.0
similar=baixo;1;space=alto;1.0
columbia=alto;1;larg=alto;1.0
choos=alto;1;respect=medio;1.0
british=alto;1;shown=alto;1.0
vancouv canada=medio;1;associ=baixo;1.0
univers british=alto;1;infer=baixo;1.0
group=baixo;1;cost=medio;1.0
vancouv=medio;1;stanford=baixo;1.0
carri=alto;1;;
lead=medio;1;;
columbia=medio;1;;
conclus=baixo;1;;
upper bound=baixo;1;;
optim polici=medio;1;;
univers british columbia=medio;1;;
littman=alto;1;;
let=medio;1;;
