caracteristicasPageRank;freqWordPageRank;caracteristicasTotalSet;freqWordTotalSet
inform comput=baixo;1.0;scope=alto;1.0
direct acycl graph=baixo;1.0;dechter=alto;1.0
repres=baixo;1.0;network repres=baixo;1.0
constraint=alto;1.0;signific=baixo;1.0
graphic model=alto;1.0;complet=baixo;1.0
evid=baixo;1.0;paramet=baixo;1.0
nsf grant=baixo;1.0;nsf grant=baixo;1.0
simpl=baixo;1.0;empir=baixo;1.0
assign=alto;1.0;final=baixo;1.0
order=alto;1.0;input=baixo;1.0
acycl graph=baixo;1.0;shachter=alto;1.0
satisfact problem=baixo;1.0;univers stanford=baixo;1.0
dechter=alto;1.0;stanford univers stanford=baixo;1.0
requir=baixo;1.0;represent=baixo;3.0
random=alto;1.0;ross=baixo;1.0
constraint satisfact=baixo;1.0;knowledg=baixo;1.0
program=baixo;1.0;proof=baixo;1.0
signific=baixo;1.0;strateg=baixo;1.0
various=baixo;1.0;practic=baixo;1.0
determin=baixo;1.0;similar=baixo;1.0
medic informat=baixo;1.0;exampl consid=baixo;1.0
network=baixo;1.0;horvitz=alto;1.0
redmond=baixo;1.0;research=alto;1.0
likelihood=baixo;1.0;scienc=baixo;1.0
denot=baixo;1.0;altern=baixo;1.0
depend=baixo;1.0;vari=baixo;1.0
procedur=baixo;1.0;eric=baixo;1.0
eric horvitz=baixo;1.0;form=baixo;1.0
horvitz=alto;1.0;uncertainti artifici=baixo;1.0
acknowledg=baixo;1.0;model reason infer=baixo;1.0
perform=baixo;1.0;pearl=alto;1.0
time=baixo;1.0;nsf=baixo;1.0
structur=baixo;2.0;probabilist=baixo;1.0
cooper=baixo;1.0;fact=baixo;1.0
new=baixo;1.0;valid=baixo;1.0
identifi=baixo;1.0;assign=baixo;1.0
bayesian network=baixo;1.0;california los=alto;1.0
practic=baixo;1.0;california los angel=alto;1.0
appli=baixo;1.0;encod=baixo;1.0
sever=baixo;1.0;research support=baixo;1.0
causal=alto;1.0;judea pearl=baixo;1.0
judea pearl=baixo;1.0;predict search=baixo;1.0
scienc depart=baixo;1.0;univers california los=alto;1.0
california los=alto;1.0;joint probabl=baixo;1.0
california los angel=alto;1.0;schein causat predict=baixo;1.0
cognit=baixo;1.0;treatment=alto;1.0
path=alto;1.0;unobserv=alto;1.0
devis=baixo;1.0;subgraph=baixo;1.0
pearl=alto;1.0;lemma=baixo;1.0
univers california los=alto;1.0;reason intellig=baixo;1.0
los=alto;1.0;judea=baixo;1.0
mere=baixo;1.0;reason infer cambridg=baixo;1.0
languag=baixo;1.0;junction tree=alto;4.0
school comput scienc=baixo;1.0;;
accuraci=baixo;1.0;confer=baixo;1.0
agreement=baixo;1.0;junction=alto;6.0
criterion=alto;1.0;let=alto;4.0
variat=alto;1.0;netherland=baixo;2.0
govern=baixo;1.0;;
aalborg univers=baixo;9.0;larg=baixo;1.0
let=alto;3.0;aalborg denmark=baixo;3.0
doe=baixo;1.0;;
junction tree=alto;6.0;;
;;potenti=alto;2.0
;;box=baixo;2.0
cliqu=alto;2.0;cliqu=alto;5.0
;;comput comput=baixo;2.0
so-cal=baixo;3.0;;
discret=baixo;2.0;;
;;present=alto;1.0
potenti=alto;1.0;;
aalborg=baixo;2.0;;
space=baixo;1.0;;
;;specifi=baixo;1.0
comput comput=baixo;3.0;jensen=alto;3.0
;;local comput=baixo;2.0
;;remov=alto;2.0
inform=baixo;1.0;;
aalborg denmark=baixo;1.0;;
allow=baixo;1.0;der=alto;1.0
jensen=alto;2.0;assumpt=baixo;1.0
pair=baixo;1.0;;
neighbour=alto;1.0;;
comput statist=baixo;1.0;so-cal=baixo;1.0
amsterdam=baixo;1.0;;
let let=baixo;1.0;;
