caracteristicasPageRank;freqWordPageRank;caracteristicasTotalSet;freqWordTotalSet
pearl=medio;4;pittsburgh=alto;6.0
reduc=medio;3;darwich=alto;5.0
druzdzel=alto;3;druzdzel=alto;5.0
moreov=alto;3;moreov=alto;2.0
darwich=alto;3;univers pittsburgh=alto;2.0
inc.=alto;3;figur depict=alto;2.0
kaufmann publish=alto;3;critic=medio;1.0
bayesian=alto;3;los=medio;1.0
chang=alto;3;san=alto;1.0
scienc depart univers=baixo;2;network figur=alto;1.0
network=alto;2;becaus=baixo;1.0
veri=alto;2;depict=alto;1.0
morgan kaufmann publish=alto;2;belief=medio;1.0
morgan kaufmann=alto;1;inc.=alto;1.0
laboratori=medio;1;follow section=alto;1.0
scienc=alto;1;pearl=medio;1.0
studi=alto;1;univers british columbia=alto;1.0
univers pittsburgh=alto;1;origin network=alto;1.0
pool=alto;1;conclus=medio;1.0
publish=alto;1;given network=alto;1.0
comput scienc univers=alto;1;freita=alto;1.0
zhang=alto;1;british=alto;1.0
structur=baixo;1;vancouv canada=medio;1.0
vancouv=medio;1;cost=medio;1.0
littman=alto;1;infer=baixo;1.0
univers british columbia=medio;1;associ=baixo;1.0
optim polici=medio;1;shown=alto;1.0
upper bound=baixo;1;respect=medio;1.0
conclus=baixo;1;larg=alto;1.0
columbia=medio;1;space=alto;1.0
lead=medio;1;publish=alto;1.0
carri=alto;1;obtain=alto;1.0
group=baixo;1;chang=alto;1.0
british columbia=alto;1;lead=medio;1.0
univers british=alto;1;scienc depart univers=baixo;1.0
vancouv canada=medio;1;canada=alto;1.0
british=alto;1;review=alto;1.0
choos=alto;1;instead=baixo;1.0
columbia=alto;1;columbia=alto;1.0
similar=baixo;1;kaufmann publish=alto;1.0
research=baixo;1;choos=alto;1.0
lang=alto;1;univers british=alto;1.0
approxim=baixo;1;;
state=alto;1;;
pittsburgh=alto;1;;
network node=medio;1;;
