caracteristicasPageRank;freqWordPageRank;caracteristicasTotalSet;freqWordTotalSet
use ani=baixo;7;use ani=baixo;7.0
limit=alto;6;benefici=baixo;6.0
solv=alto;6;confer=alto;2.0
implement=alto;3;algorithm develop=baixo;2.0
guid=baixo;3;veri larg=baixo;2.0
studi=baixo;3;mechan=baixo;2.0
develop=medio;3;quantiti=baixo;2.0
earli=baixo;2;stop=baixo;2.0
artifici intellig=medio;2;follow section=alto;1.0
journal artifici=alto;2;obtain=alto;1.0
conclus=baixo;2;inc.=alto;1.0
bound=alto;2;british=alto;1.0
mechan=baixo;2;freita=alto;1.0
morgan kaufmann=alto;1;belief=medio;1.0
scienc=alto;1;given network=alto;1.0
studi=alto;1;druzdzel=alto;1.0
univers pittsburgh=alto;1;depict=alto;1.0
laboratori=medio;1;moreov=alto;1.0
chang=alto;1;becaus=baixo;1.0
morgan kaufmann publish=alto;1;network figur=alto;1.0
network node=medio;1;san=alto;1.0
network=alto;1;conclus=medio;1.0
scienc depart univers=baixo;1;los=medio;1.0
publish=alto;1;figur depict=alto;1.0
bayesian=alto;1;univers pittsburgh=alto;1.0
kaufmann publish=alto;1;univers british columbia=alto;1.0
inc.=alto;1;pearl=medio;1.0
pool=alto;1;fuzzi=alto;1.0
fuzzi=alto;1;origin network=alto;1.0
veri=alto;1;sequenc=baixo;1.0
state=alto;1;institut technolog=baixo;1.0
pittsburgh=alto;1;set state=baixo;1.0
ed=alto;1;growth=baixo;1.0
expect valu=baixo;1;limit=alto;1.0
partial=alto;1;intellig research=alto;1.0
usa=baixo;1;perform better=baixo;1.0
optim solut=alto;1;elimin=baixo;1.0
fewer=baixo;1;implement use=baixo;1.0
moreov=alto;1;scienc depart univers=baixo;1.0
elimin=baixo;1;valid=baixo;1.0
solut=alto;1;instruct=baixo;1.0
local=alto;1;state set=baixo;1.0
observ markov=medio;1;expect valu=baixo;1.0
darwich=alto;1;instead=baixo;1.0
druzdzel=alto;1;precis=baixo;1.0
littman=alto;1;earli=baixo;1.0
comput scienc univers=alto;1;columbia=alto;1.0
user=alto;1;critic=medio;1.0
duboi=alto;1;duboi=alto;1.0
approxim=medio;1;order=medio;1.0
uncertainti=alto;1;natur languag=alto;1.0
studi=medio;1;academ press=alto;1.0
natur languag=alto;1;queri=alto;1.0
like=baixo;1;data=medio;1.0
represent=alto;1;framework=alto;1.0
match=alto;1;prade=alto;1.0
inform=alto;1;enabl=alto;1.0
data=medio;1;approxim=medio;1.0
uncertain=alto;1;confer artifici intellig=medio;1.0
word=alto;1;belong=alto;1.0
languag=alto;1;match=alto;1.0
daphn koller=baixo;1;user=alto;1.0
interpret=alto;1;academ=alto;1.0
fuzzi set=alto;1;infer=baixo;1.0
theori=alto;1;word=alto;1.0
columbia=medio;1;indic=baixo;1.0
upper bound=baixo;1;respect=medio;1.0
univers british columbia=medio;1;cost=medio;1.0
let=medio;1;stanford=baixo;1.0
optim polici=medio;1;larg=alto;1.0
boutili=alto;1;space=alto;1.0
lead=medio;1;associ=baixo;1.0
carri=alto;1;shown=alto;1.0
columbia=alto;1;vancouv canada=medio;1.0
vancouv=medio;1;present=alto;1.0
group=baixo;1;publish=alto;1.0
univers british=alto;1;fuzzi set=alto;1.0
vancouv canada=medio;1;chang=alto;1.0
british=alto;1;represent=alto;1.0
choos=alto;1;daphn=baixo;1.0
present=alto;1;review=alto;1.0
order=medio;1;situat=alto;1.0
similar=baixo;1;kaufmann publish=alto;1.0
optim=alto;1;choos=alto;1.0
discuss abov=medio;1;factor=alto;1.0
toronto=alto;1;surpris=baixo;1.0
dean=baixo;1;stanford=medio;1.0
size=medio;1;daphn koller=baixo;1.0
allow=alto;1;pittsburgh=alto;1.0
final=medio;1;use learn=baixo;1.0
daphn=baixo;1;affect=baixo;1.0
element=baixo;1;stanford univers=medio;1.0
function=alto;1;allow=alto;1.0
assign=medio;1;signific=medio;1.0
british columbia=alto;1;darwich=alto;1.0
zhang=alto;1;daphn koller=alto;1.0
approxim=baixo;1;uncertain=alto;1.0
structur=baixo;1;maxim=alto;1.0
random=baixo;1;individu=medio;1.0
certain=alto;1;variabl set=baixo;1.0
research=baixo;1;drawback=baixo;1.0
network=medio;1;modif=baixo;1.0
lang=alto;1;random=baixo;1.0
techniqu=alto;1;describ=alto;1.0
darpa=baixo;1;let=medio;1.0
acknowledg=baixo;1;toronto=alto;1.0
knowledg=baixo;1;univers british=alto;1.0
avail=baixo;1;canada=alto;1.0
prior=medio;1;koller=alto;1.0
dynam=alto;1;lead=medio;1.0
daphn koller=alto;1;given set=baixo;1.0
reduc=medio;1;;
craig=alto;1;;
depart comput=alto;1;;
koller=alto;1;;
pearl=medio;1;;
defin equat=baixo;1;;
